country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
BIH,70,0.2,1,0,0,2550,8325,704,0.23448275862068965,0.7836508912108174,0.22022627169876502,0.3609597282185576
AUT,70,0.2,1,0,0,6548,14776,339,0.3070718439317201,0.9507768259038769,0.30226653741402393,0.4642160859239303
CHE,70,0.2,1,0,0,6548,5069,623,0.5636567099939743,0.9131222981453075,0.5349673202614379,0.697040664253779
BEL,70,0.2,1,0,0,7401,14210,284,0.3424644856785896,0.9630448926480156,0.33802237953870745,0.5052566903331513
EST,70,0.2,1,0,0,2826,4200,3754,0.4022203245089667,0.42948328267477204,0.262152133580705,0.4154049683962958
BGR,70,0.2,1,0,0,7163,24512,1582,0.22614048934490924,0.8190966266437965,0.2153832275911838,0.35442850074220683
DNK,70,0.2,1,0,0,5942,11363,4203,0.34336896850621207,0.5857072449482503,0.2762692951459922,0.43293260473588346
ALB,70,0.2,1,0,0,1413,3384,204,0.2945590994371482,0.8738404452690167,0.28254349130173967,0.44059869036482685
BLR,70,0.2,1,0,0,10967,15833,17166,0.40921641791044777,0.3898268936835744,0.2494427512168494,0.399286403436914
CZE,70,0.2,1,0,0,10822,21885,322,0.33087718225456325,0.9711055276381909,0.3276514578098035,0.49358053408132085
HUN,70,0.2,1,0,0,5517,23746,55,0.188531592796364,0.9901292175161522,0.18817791118084454,0.3167503947179561
DEU,70,0.2,1,0,0,41534,93738,640,0.3070406292506949,0.9848247735571679,0.30559479663311556,0.4681311497582363
LIE,70,0.2,1,0,0,26,100,0,0.20634920634920634,1.0,0.20634920634920634,0.34210526315789475
IRL,70,0.2,1,0,0,2874,16080,6,0.15163026274137384,0.9979166666666667,0.15158227848101266,0.26325913712558396
LUX,70,0.2,1,0,0,979,1018,4,0.4902353530295443,0.9959308240081384,0.4892553723138431,0.6570469798657719
LTU,70,0.2,1,0,0,4073,5937,6710,0.40689310689310687,0.3777241954929055,0.2436004784688995,0.39176645986630115
MKD,70,0.2,1,0,0,1035,4850,137,0.17587085811384875,0.8831058020477816,0.17186981069412155,0.2933257758254215
MDA,70,0.2,1,0,0,3487,3920,3986,0.47077089239908193,0.46661314063963605,0.3060651277099974,0.46868279569892474
GRC,70,0.2,1,0,0,7333,35699,452,0.1704080684142034,0.9419396274887605,0.16863673995032655,0.2886042072534782
LVA,70,0.2,1,0,0,1840,6334,158,0.2251039882554441,0.9209209209209209,0.22083533365338454,0.36177742823436887
MNE,70,0.2,1,0,0,665,1368,321,0.32710280373831774,0.6744421906693712,0.2824978759558199,0.4405432262338523
SRB,70,0.2,1,0,0,5425,18154,342,0.23007761143390304,0.9406970695335529,0.22678817775176624,0.3697267089211477
NLD,70,0.2,1,0,0,3885,14532,40,0.21094640820980615,0.9898089171974522,0.21048924527279622,0.34777549010831615
SVK,70,0.2,1,0,0,4693,9204,713,0.3376987839101964,0.868109507954125,0.3212183436002738,0.4862456612961716
ITA,70,0.2,1,0,0,41872,60955,2115,0.4072082235210596,0.9519176120217336,0.39900135312839474,0.5704088165978721
SVN,70,0.2,1,0,0,2014,4193,225,0.32447236990494605,0.8995087092451988,0.3131218905472637,0.4769121477622543
HRV,70,0.2,1,0,0,5906,10689,929,0.35589032841217233,0.8640819312362839,0.3370235106140151,0.5041399914639352
PRT,70,0.2,1,0,0,12378,24425,1932,0.3363312773415211,0.8649895178197065,0.3195559571447012,0.4843386222683075
ROU,70,0.2,1,0,0,16765,55697,2694,0.23136264524854405,0.8615550644945783,0.2230693490872319,0.36476974793572736
POL,70,0.2,1,0,0,29407,87705,451,0.2511015096659608,0.9848951704735749,0.25013822376087713,0.40017690685173846
ESP,70,0.2,1,0,0,33490,84189,9430,0.2845877344301022,0.7802889095992545,0.263474655610539,0.4170636180798137
FRA,70,0.2,1,0,0,53344,115713,16137,0.3155385461708181,0.7677494566860005,0.2880438891108783,0.44725787924775084
GBR,70,0.2,1,0,0,19640,59584,4420,0.24790467535090377,0.8162926018287614,0.2348046482712448,0.3803105998993068
UKR,70,0.2,1,0,0,55392,59902,68575,0.4804413065727618,0.44682859147999066,0.3012579608308089,0.4630257334041068
