country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
CHE,70,0.2,1,0,0,6561,5055,623,0.5648243801652892,0.9132795100222717,0.5360732085954735,0.6979787234042554
BIH,70,0.2,1,0,0,2547,8368,693,0.23334860284012826,0.7861111111111111,0.21941764300482425,0.35987283645355
BGR,70,0.2,1,0,0,7226,24604,1575,0.22701853597235314,0.8210430632882627,0.21631492291573118,0.35568900593143166
ALB,70,0.2,1,0,0,1421,3430,204,0.29292929292929293,0.8744615384615385,0.2811078140454995,0.4388511426806671
BEL,70,0.2,1,0,0,7409,14233,282,0.3423435911653267,0.9633337667403459,0.33794015690567414,0.5051648314185389
EST,70,0.2,1,0,0,2831,4232,3749,0.4008211808013592,0.43024316109422495,0.26183869774324825,0.41501136113757975
AUT,70,0.2,1,0,0,6544,14873,341,0.30555166456553207,0.9504720406681191,0.3007629377700156,0.46244081690339905
DNK,70,0.2,1,0,0,5980,11385,4190,0.3443708609271523,0.5880039331366765,0.2774298306657388,0.43435627383330305
GRC,70,0.2,1,0,0,7339,35845,449,0.16994720266765467,0.9423472008217771,0.1681983819586093,0.2879620183630229
HUN,70,0.2,1,0,0,5523,23874,56,0.18787631390958262,0.9899623588456713,0.18751909822428955,0.31581655992680696
HRV,70,0.2,1,0,0,5923,10713,927,0.35603510459245014,0.8646715328467153,0.337243067813016,0.5043855914161629
IRL,70,0.2,1,0,0,2876,16130,6,0.15132063558876144,0.9979181124219292,0.1512728802861351,0.2627923976608187
LIE,70,0.2,1,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
ESP,70,0.2,1,0,0,33601,84486,9411,0.2845444460440184,0.7812005951827397,0.26354138888453155,0.4171472200324024
LUX,70,0.2,1,0,0,991,1028,4,0.4908370480435859,0.9959798994974874,0.4898665348492338,0.6575978765759788
BLR,70,0.2,1,0,0,11092,15827,17156,0.41205096771796873,0.39266496743132256,0.2516619398752127,0.4021244584624866
LVA,70,0.2,1,0,0,1854,6399,149,0.22464558342420937,0.9256115826260609,0.2206617472030469,0.36154446177847116
MKD,70,0.2,1,0,0,1026,4907,132,0.17293106354289567,0.8860103626943006,0.16916735366859026,0.2893809053730081
LTU,70,0.2,1,0,0,4174,5922,6669,0.4134310618066561,0.3849488149036245,0.24897107068297047,0.39868188547686145
MDA,70,0.2,1,0,0,3500,3917,3974,0.471888903869489,0.4682900722504683,0.3072601176367308,0.4700826002283259
MNE,70,0.2,1,0,0,666,1372,321,0.3267909715407262,0.6747720364741642,0.2823230182280627,0.4403305785123967
NLD,70,0.2,1,0,0,3884,14561,40,0.21057197072377337,0.9898063200815495,0.2101163105220449,0.3472663060485493
CZE,70,0.2,1,0,0,10830,22007,327,0.3298108840637086,0.9706910459801021,0.3265589193100953,0.4923398645269809
DEU,70,0.2,1,0,0,41585,94402,630,0.30580128982917487,0.9850763946464527,0.30439110798802493,0.466717545257629
SVN,70,0.2,1,0,0,2019,4228,225,0.3231951336641588,0.8997326203208557,0.3119592088998764,0.475562360146037
SRB,70,0.2,1,0,0,5440,18211,333,0.2300114160077798,0.9423176857786246,0.2268178785857238,0.3697661772702556
ITA,70,0.2,1,0,0,41878,61083,2109,0.406736531307971,0.9520540159592606,0.39857238031788333,0.5699703296404169
POL,70,0.2,1,0,0,29385,88528,442,0.24920916268774435,0.9851812116538706,0.24827848422119894,0.39779342087450925
SVK,70,0.2,1,0,0,4695,9274,718,0.3361013673133367,0.867356364308147,0.3196704568666167,0.4844701269218863
PRT,70,0.2,1,0,0,12410,24522,1901,0.3360229611177299,0.8671651177415973,0.3195735585713182,0.48435883925609347
ROU,70,0.2,1,0,0,16795,55871,2666,0.23112597363278561,0.8630080674168851,0.22294642383051028,0.36460538170134704
FRA,70,0.2,1,0,0,53435,116380,16033,0.3146659600153108,0.7692030863131226,0.2875199087426284,0.446625961727327
GBR,70,0.2,1,0,0,19658,60108,4285,0.2464458541233107,0.8210332873908867,0.2338818098535413,0.3790992102903316
UKR,70,0.2,1,0,0,55749,59958,68305,0.48181181778111953,0.44939300627146245,0.3029639371345347,0.46503810044168986
