country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
CHE,70,0.2,0,0,0,6641,4962,749,0.5723519779367405,0.8986468200270636,0.537645725388601,0.6993102722055494
BIH,70,0.2,0,0,0,2550,8324,704,0.2345043222365275,0.7836508912108174,0.22024529279668337,0.3609852774631937
BEL,70,0.2,0,0,0,8143,13467,802,0.3768162887552059,0.9103409726103968,0.3633321434945565,0.5330060546555392
DNK,70,0.2,0,0,0,7005,10282,6264,0.4052177937178226,0.5279222247343432,0.2974395991677636,0.45850242178295586
BGR,70,0.2,0,0,0,7178,24433,1578,0.22707285438613142,0.819780721790772,0.21627647714604237,0.3556370302474794
EST,70,0.2,0,0,0,2906,4083,3896,0.4157962512519674,0.4272272860923258,0.2669728984841525,0.4214342687259807
ALB,70,0.2,0,0,0,1419,3363,204,0.29673776662484314,0.8743068391866913,0.28459687123947053,0.4430913348946135
AUT,70,0.2,0,0,0,7146,14129,904,0.33588719153936547,0.8877018633540372,0.3221966725280671,0.48736572890025576
HUN,70,0.2,0,0,0,5862,23372,84,0.20051994253266744,0.9858728557013118,0.19994542601814586,0.33325753268902786
IRL,70,0.2,0,0,0,3087,15863,155,0.1629023746701847,0.9521900061690315,0.1615807380266946,0.2782083633741889
BLR,70,0.2,0,0,0,11034,15720,17172,0.41242431038349403,0.39119336311423103,0.251195191913673,0.40152838427947596
CZE,70,0.2,0,0,0,11350,21301,355,0.3476156932406358,0.9696710807347287,0.34387687087196267,0.5117684191541167
LIE,70,0.2,0,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
LTU,70,0.2,0,0,0,4092,5902,6753,0.40944566740044025,0.3773167358229599,0.24434227025735952,0.39272517875137963
LUX,70,0.2,0,0,0,983,999,4,0.49596367305751765,0.9959473150962512,0.4949647532729104,0.6621758167733243
LVA,70,0.2,0,0,0,2173,5986,351,0.2663316582914573,0.8609350237717908,0.2553466509988249,0.406814565197042
MKD,70,0.2,0,0,0,1045,4827,122,0.17796321525885558,0.895458440445587,0.17434100767434102,0.29691717573518966
GRC,70,0.2,0,0,0,7332,35594,530,0.17080557238037553,0.9325871279572627,0.16872238586156113,0.28872962117035517
DEU,70,0.2,0,0,0,44444,90522,3440,0.3292977490627269,0.928159719321694,0.32111324653555484,0.48612523926715884
MDA,70,0.2,0,0,0,3492,3917,3972,0.47131866648670534,0.4678456591639871,0.3068271680871628,0.46957574127613794
MNE,70,0.2,0,0,0,665,1368,325,0.32710280373831774,0.6717171717171717,0.2820186598812553,0.43996030433344363
ITA,70,0.2,0,0,0,42356,60418,2292,0.4121275809056765,0.9486651137788926,0.4031370757428664,0.5746225122437628
NLD,70,0.2,0,0,0,4712,13703,685,0.25587836003258213,0.8730776357235501,0.24670157068062828,0.3957668402486142
HRV,70,0.2,0,0,0,5951,10635,994,0.3587965754250573,0.8568754499640029,0.33850967007963595,0.505800858442055
ESP,70,0.2,0,0,0,34113,83460,10388,0.2901431451098466,0.7665670434372261,0.2665890388477739,0.42095585966904
SRB,70,0.2,0,0,0,5422,18134,342,0.23017490236033283,0.9406662040249827,0.22688091053644657,0.369849931787176
SVN,70,0.2,0,0,0,2057,4132,239,0.3323638713847148,0.8959059233449478,0.3200062227753578,0.484855627578079
PRT,70,0.2,0,0,0,12427,24314,1936,0.3382324923110422,0.8652092181299171,0.3213020658272358,0.4863415779586725
SVK,70,0.2,0,0,0,4735,9145,787,0.3411383285302594,0.857479174212242,0.32283357196427354,0.48809401092670857
POL,70,0.2,0,0,0,30907,85814,701,0.26479382459026224,0.9778220703619337,0.2632130265197323,0.4167357698090057
ROU,70,0.2,0,0,0,16750,55671,2699,0.23128650529542535,0.8612267982929713,0.22297657082002129,0.3646456950038097
FRA,70,0.2,0,0,0,60079,108708,18812,0.3559456593221042,0.7615444093749604,0.32025224015053383,0.48513796138534704
GBR,70,0.2,0,0,0,22923,56079,9455,0.2901572112098428,0.7079807276545803,0.2591428603728365,0.41161788471898003
UKR,70,0.2,0,0,0,55467,59756,68630,0.4813882644958038,0.44696487425159354,0.3016921127204886,0.463538358682935
