country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,59,5,0.4326923076923077,0.9,0.41284403669724773,0.5844155844155844
BIH,70,0.2,1,0,0,2684,9069,642,0.22836722538926232,0.8069753457606735,0.21653892698668817,0.3559917766430135
BGR,70,0.2,1,0,0,7962,27248,1340,0.22612894064186312,0.8559449580735325,0.21783857729138167,0.35774622573688
CHE,70,0.2,1,0,0,6808,5206,578,0.5666722157482936,0.9217438396967236,0.5406607369758577,0.7018556701030928
ALB,70,0.2,1,0,0,1567,3740,141,0.2952703975880912,0.917447306791569,0.28762848751835535,0.44675694939415544
BEL,70,0.2,1,0,0,7606,14817,257,0.33920528029255675,0.9673152740684218,0.3353615520282187,0.5022782803935811
EST,70,0.2,1,0,0,3111,4829,3465,0.39181360201511334,0.47308394160583944,0.27277509864094696,0.4286304767153486
AUT,70,0.2,1,0,0,6644,15875,314,0.2950397442159954,0.9548720896809428,0.29098235010730084,0.4507921430267667
BLR,70,0.2,1,0,0,12691,18644,15817,0.40501037178873467,0.4451732846920163,0.26915083135391926,0.4241431746403088
DNK,70,0.2,1,0,0,6509,12198,3924,0.3479446196610894,0.6238857471484712,0.2876143343201803,0.4467398764584763
CZE,70,0.2,1,0,0,11128,23909,307,0.31760710106458884,0.9731526016615654,0.31484834766862835,0.4789120330521604
HUN,70,0.2,1,0,0,5546,26575,52,0.1726596307711466,0.9907109682029296,0.17238056755664688,0.2940693019433177
GRC,70,0.2,1,0,0,7531,38568,408,0.1633657996919673,0.9486081370449678,0.16193261229492334,0.27872978274547544
HRV,70,0.2,1,0,0,6219,11604,860,0.3489311563709813,0.8785139143946885,0.33286945351388963,0.4994779535780258
LIE,70,0.2,1,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
IRL,70,0.2,1,0,0,2931,18327,5,0.13787750493931697,0.9982970027247956,0.13784508300804213,0.24229147722575847
LUX,70,0.2,1,0,0,1020,1069,5,0.48827190043082813,0.9951219512195122,0.4871060171919771,0.6551059730250481
LTU,70,0.2,1,0,0,4973,6720,6050,0.42529718635080815,0.4511476004717409,0.28027954686355183,0.43784116921993305
MKD,70,0.2,1,0,0,1184,5397,42,0.17991186749734084,0.965742251223491,0.1787709497206704,0.3033175355450237
LVA,70,0.2,1,0,0,1915,7586,159,0.2015577307651826,0.9233365477338477,0.19824016563146998,0.33088552915766734
MDA,70,0.2,1,0,0,3980,4640,3500,0.4617169373549884,0.5320855614973262,0.32838283828382836,0.49440993788819876
MNE,70,0.2,1,0,0,724,1536,333,0.32035398230088497,0.684957426679281,0.2792132664866949,0.43653904130238164
NLD,70,0.2,1,0,0,3905,15253,47,0.2038312976302328,0.9881072874493927,0.20333246550377507,0.3379489398528775
DEU,70,0.2,1,0,0,42170,102317,535,0.2918601673506959,0.987472192951645,0.2907834673359904,0.4505534424548058
SRB,70,0.2,1,0,0,5611,20035,332,0.2187865554082508,0.9441359582702339,0.2159904534606205,0.35525024533856725
ITA,70,0.2,1,0,0,42579,64698,2053,0.39690707234542355,0.9540016131923283,0.3894539467666697,0.5605856137556037
SVN,70,0.2,1,0,0,2084,4676,212,0.30828402366863905,0.9076655052264808,0.2989099254159495,0.46024734982332155
POL,70,0.2,1,0,0,29902,98881,396,0.23218903116094516,0.9869298303518385,0.23147725249460052,0.37593427247754285
SVK,70,0.2,1,0,0,4808,10089,689,0.3227495468886353,0.8746589048571949,0.30848197099961505,0.47151122879278223
PRT,70,0.2,1,0,0,13090,26548,1633,0.33023865987184015,0.8890851049378523,0.31717186402074093,0.4815952613086588
ESP,70,0.2,1,0,0,35940,94382,8671,0.2757784564386673,0.8056308982089619,0.25857417280006906,0.41090017320917144
ROU,70,0.2,1,0,0,17431,61168,2451,0.22177126935457195,0.876722663715924,0.21506477483035163,0.35399721773743165
FRA,70,0.2,1,0,0,55862,125197,14911,0.3085292639415881,0.7893123083661848,0.2850538347706282,0.4436449696623145
GBR,70,0.2,1,0,0,20258,65402,3939,0.2364931123044595,0.8372112245319667,0.22609627339590843,0.36880672146517746
UKR,70,0.2,1,0,0,65328,69874,61220,0.4831881185189568,0.5162309953535418,0.33259003573937745,0.49916332378223494
