country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BIH,70,0.2,0,0,0,2551,8315,706,0.23476900423338856,0.7832361068467916,0.22044590390597996,0.36125469092968915
BEL,70,0.2,0,0,0,8132,13467,802,0.3764989119866661,0.910230579807477,0.363019508057676,0.5326695706285004
CHE,70,0.2,0,0,0,6640,4945,749,0.5731549417350021,0.8986331032616051,0.5383492784173829,0.6999051333403605
AUT,70,0.2,0,0,0,7141,14131,907,0.3356995110943964,0.8873011928429424,0.3219712340502277,0.48710777626193724
EST,70,0.2,0,0,0,2889,4078,3924,0.414669154585905,0.4240422721268164,0.26526489762188965,0.41930333817126275
BGR,70,0.2,0,0,0,7164,24383,1590,0.22708973911940913,0.818368745716244,0.2161933790023237,0.3555246768070271
ALB,70,0.2,0,0,0,1416,3360,204,0.2964824120603015,0.8740740740740741,0.28433734939759037,0.44277673545966234
DNK,70,0.2,0,0,0,7011,10279,6248,0.4054945054945055,0.5287729089674937,0.29785878154473616,0.4590002946086615
HUN,70,0.2,0,0,0,5867,23300,86,0.2011519868344362,0.9855535024357467,0.2005606262605545,0.3341116173120729
GRC,70,0.2,0,0,0,7330,35526,528,0.17103789434384917,0.9328073301094426,0.1689562972524433,0.2890720511101471
BLR,70,0.2,0,0,0,11047,15690,17143,0.4131727568537981,0.39187655196878324,0.25175478577939836,0.4022429770422561
HRV,70,0.2,0,0,0,5957,10608,1000,0.35961364322366435,0.8562598821331033,0.3391403358952462,0.5065045489329139
IRL,70,0.2,0,0,0,3086,15866,155,0.16283241874208526,0.9521752545510644,0.1615114879363584,0.2781057090073446
LIE,70,0.2,0,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
DEU,70,0.2,0,0,0,44414,90331,3457,0.32961519907974324,0.9277850890936057,0.3213701683043661,0.48641959083541425
LUX,70,0.2,0,0,0,981,1001,4,0.49495459132189706,0.9959390862944163,0.49395770392749244,0.6612740141557129
LVA,70,0.2,0,0,0,2173,5949,353,0.267544939670032,0.8602533650039589,0.256401179941003,0.40815176558978217
MKD,70,0.2,0,0,0,1064,4807,130,0.18122977346278318,0.8911222780569514,0.17730378270288286,0.30120311394196747
CZE,70,0.2,0,0,0,11357,21256,348,0.34823536626498636,0.9702691157624946,0.34455872091259365,0.5125231283000136
MNE,70,0.2,0,0,0,661,1372,325,0.3251352680767339,0.6703853955375254,0.28032230703986427,0.43789334216628023
MDA,70,0.2,0,0,0,3494,3917,3972,0.471461341249494,0.4679882132333244,0.30694895897390845,0.4697183571956712
LTU,70,0.2,0,0,0,4024,5930,6798,0.4042595941330119,0.3718351506191092,0.2402101241642789,0.38737004235656525
SRB,70,0.2,0,0,0,5421,18124,340,0.2302399660225101,0.9409824683214719,0.2269625287837555,0.36995837029959733
NLD,70,0.2,0,0,0,4711,13696,685,0.2559352420274895,0.873054114158636,0.24675256652000838,0.3958324580935176
SVK,70,0.2,0,0,0,4726,9130,786,0.3410796766743649,0.8574020319303338,0.3227701133724901,0.4880214787277985
SVN,70,0.2,0,0,0,2074,4114,226,0.33516483516483514,0.9017391304347826,0.32335516058621766,0.4886899151743638
ESP,70,0.2,0,0,0,34110,83321,10391,0.29046844529979304,0.7664996292218152,0.2668554708892053,0.4212879480275671
PRT,70,0.2,0,0,0,12392,24327,1951,0.3374819575696506,0.8639754584117688,0.3204551331781743,0.4853707257843406
POL,70,0.2,0,0,0,30899,85492,699,0.26547585294395615,0.9778783467308058,0.2638910239986335,0.4175850907837745
ROU,70,0.2,0,0,0,16748,55633,2707,0.23138668987717773,0.860858391159085,0.22304496057958662,0.3647371401193432
FRA,70,0.2,0,0,0,60052,108594,18802,0.3560831564341876,0.7615593375098283,0.3203661815543511,0.48526868686868685
ITA,70,0.2,0,0,0,42381,60407,2289,0.4123146670817605,0.948757555406313,0.4033327940462708,0.5748213050495734
GBR,70,0.2,0,0,0,22886,55943,9500,0.2903246267236677,0.7066633730624344,0.25909950299448653,0.4115631884188284
UKR,70,0.2,0,0,0,55407,59755,68704,0.48112224518504365,0.44643101739571833,0.30134445737656773,0.46312789157155215
