country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,48,50,5,0.4897959183673469,0.9056603773584906,0.46601941747572817,0.6357615894039735
CHE,70,0.2,1,0,0,6785,5205,582,0.5658882402001668,0.9209990498167504,0.5396913776646516,0.7010383840471148
BIH,70,0.2,1,0,0,2679,9039,644,0.2286226318484383,0.8061992175744809,0.21671250606697945,0.3562263147397115
BEL,70,0.2,1,0,0,7586,14770,258,0.3393272499552693,0.9671086180520143,0.33545591226673743,0.502384105960265
BGR,70,0.2,1,0,0,7946,27229,1344,0.2258990760483298,0.8553283100107643,0.21758536652153673,0.3574047003260992
AUT,70,0.2,1,0,0,6632,15724,313,0.2966541420647701,0.9549316054715623,0.29255811901716,0.4526807958772738
ALB,70,0.2,1,0,0,1561,3721,138,0.29553199545626657,0.9187757504414361,0.2880073800738007,0.44721386620827963
BLR,70,0.2,1,0,0,12796,18489,15762,0.4090139044270417,0.44807059317879405,0.27198333581312306,0.4276523570008188
EST,70,0.2,1,0,0,3041,4733,3564,0.39117571391818884,0.46040878122634366,0.26821308872817073,0.42297795396063703
DNK,70,0.2,1,0,0,6488,12143,3941,0.348236809618378,0.6221114200786269,0.28743576111997166,0.4465244322092223
CZE,70,0.2,1,0,0,11134,23740,303,0.31926363479956416,0.9735070385590627,0.3165136310657532,0.48083608645894066
HUN,70,0.2,1,0,0,5530,26446,52,0.17294220665499124,0.9906843425295593,0.17266142125640066,0.2944778742212045
IRL,70,0.2,1,0,0,2930,18323,5,0.13786288994494894,0.9982964224872232,0.1378304638253834,0.24226889366628082
LIE,70,0.2,1,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
ESP,70,0.2,1,0,0,35973,93691,8721,0.27743244076999013,0.8048731373338703,0.2599486938613289,0.4126337764828686
LUX,70,0.2,1,0,0,980,1064,5,0.4794520547945205,0.9949238578680203,0.4782820888238165,0.6470782436447672
LVA,70,0.2,1,0,0,1918,7406,159,0.2057057057057057,0.9234472797303803,0.2022566698302225,0.33646171388474694
MKD,70,0.2,1,0,0,1154,5380,69,0.17661463116008572,0.9435813573180704,0.1747690443737695,0.2975377078767565
GRC,70,0.2,1,0,0,7520,38300,414,0.1641204714098647,0.9478195109654651,0.16265086300125448,0.27979313167392195
LTU,70,0.2,1,0,0,4856,6656,6210,0.4218207088255733,0.4388216157599855,0.27400970545085207,0.4301532465231641
MDA,70,0.2,1,0,0,3980,4640,3500,0.4617169373549884,0.5320855614973262,0.32838283828382836,0.49440993788819876
MNE,70,0.2,1,0,0,715,1502,333,0.3225078935498421,0.6822519083969466,0.2803921568627451,0.4379785604900459
NLD,70,0.2,1,0,0,3897,15240,47,0.20363693368866592,0.9880831643002028,0.20313803169307756,0.3376803431393787
DEU,70,0.2,1,0,0,42074,100763,587,0.29455953289413805,0.9862403600478189,0.29335397144132086,0.45363292326601906
ITA,70,0.2,1,0,0,42557,64485,2068,0.3975729153042731,0.9536582633053221,0.3900375767574008,0.5611899754066474
SVN,70,0.2,1,0,0,2106,4625,211,0.3128807012331006,0.908933966335779,0.30337078651685395,0.46551724137931033
HRV,70,0.2,1,0,0,6209,11586,847,0.3489182354593987,0.8799603174603174,0.33306512176805064,0.49969820127962655
SRB,70,0.2,1,0,0,5615,20020,330,0.21903647357128925,0.9444911690496215,0.2162526477951088,0.3556048131728942
SVK,70,0.2,1,0,0,4843,10091,613,0.32429355832328915,0.8876466275659824,0.311507043159452,0.47503678273663563
POL,70,0.2,1,0,0,29840,98125,397,0.23318876255226037,0.9868703905810762,0.2324675527025132,0.3772392257999267
PRT,70,0.2,1,0,0,13074,26480,1662,0.33053547049603077,0.887214983713355,0.3172069099378882,0.4816356603426046
ROU,70,0.2,1,0,0,17437,61210,2470,0.2217122077129452,0.8759230421459788,0.21496110556356868,0.3538567688779755
FRA,70,0.2,1,0,0,55792,124284,15128,0.30982474066505256,0.7866892272983643,0.2858138152906703,0.44456485362316533
GBR,70,0.2,1,0,0,20242,64980,3968,0.23752082795522284,0.8361007847996695,0.2269536943603543,0.36994663352584256
UKR,70,0.2,1,0,0,64980,69883,61775,0.4818222937351238,0.512642499309692,0.3304549476703384,0.4967548104488223
