country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,52,5,0.4639175257731959,0.9,0.4411764705882353,0.6122448979591837
BIH,70,0.2,0,0,0,2612,8587,665,0.23323511027770336,0.7970704913030211,0.22016183412002696,0.3608731693838077
BEL,70,0.2,0,0,0,8187,13675,801,0.3744854084713201,0.9108811748998665,0.3612496139081322,0.5307617504051864
CHE,70,0.2,0,0,0,6721,5021,729,0.5723897121444388,0.9021476510067115,0.5389303183385454,0.7003959983326387
AUT,70,0.2,0,0,0,7181,14740,860,0.32758542037315813,0.893048128342246,0.3152188227031298,0.4793404979640878
EST,70,0.2,0,0,0,3065,4352,3730,0.4132398543885668,0.45106696100073584,0.27496187314972637,0.43132564030396847
BGR,70,0.2,0,0,0,7515,25527,1440,0.22743780642818232,0.8391959798994975,0.21793979467548286,0.35788270590756477
ALB,70,0.2,0,0,0,1495,3517,132,0.29828411811652034,0.9188690842040566,0.2906298600311042,0.4503690314806446
DNK,70,0.2,0,0,0,7316,10538,6014,0.40976811918897726,0.5488372093023256,0.30651918887213003,0.46921498204207285
GRC,70,0.2,0,0,0,7434,36899,488,0.16768547131933323,0.9383993940924009,0.16585975324066843,0.28452779638312126
HUN,70,0.2,0,0,0,5871,24472,82,0.19348778960551033,0.9862254325550143,0.19296631059983566,0.32350672250385715
IRL,70,0.2,0,0,0,3090,16620,154,0.1567732115677321,0.9525277435265105,0.15555779299234795,0.26923412041474254
BLR,70,0.2,0,0,0,11654,16655,16756,0.41167119997174045,0.4102076733544527,0.2586042383224232,0.41093813360602266
HRV,70,0.2,0,0,0,6044,10959,955,0.3554666823501735,0.8635519359908559,0.33656309165831383,0.5036246979418382
LIE,70,0.2,0,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
CZE,70,0.2,0,0,0,11450,22327,357,0.3389880688042159,0.9697636995002964,0.3354426671354075,0.5023692523692523
LUX,70,0.2,0,0,0,999,1073,5,0.48214285714285715,0.9950199203187251,0.4809821858449687,0.6495448634590377
LVA,70,0.2,0,0,0,2227,6569,333,0.2531832651205093,0.869921875,0.24394785847299813,0.39221556886227543
MKD,70,0.2,0,0,0,1059,5140,123,0.1708340054847556,0.8959390862944162,0.16751028155646946,0.2869529874000813
DEU,70,0.2,0,0,0,44703,94522,3360,0.32108457532770696,0.9300917545721241,0.31351825227057545,0.4773717483234377
MDA,70,0.2,0,0,0,3602,4102,3830,0.4675493250259605,0.48466092572658775,0.3122940870469915,0.47595137420718814
MNE,70,0.2,0,0,0,669,1429,347,0.31887511916110584,0.6584645669291339,0.27361963190184047,0.4296724470134875
LTU,70,0.2,0,0,0,4395,6242,6596,0.4131804080097772,0.39987262305522703,0.25503394649799804,0.40641760680599226
NLD,70,0.2,0,0,0,4695,13975,691,0.2514729512587038,0.8717044188637207,0.24249780486545117,0.39033920851346854
SRB,70,0.2,0,0,0,5466,18755,326,0.22567193757483175,0.9437154696132597,0.22267486861938324,0.364242161729917
SVK,70,0.2,0,0,0,4773,9604,773,0.3319885928914238,0.8606202668589975,0.31504950495049505,0.4791447071224213
SVN,70,0.2,0,0,0,2048,4334,242,0.32090253838921967,0.8943231441048035,0.30917874396135264,0.4723247232472324
ESP,70,0.2,0,0,0,35048,87247,10043,0.28658571486978207,0.7772726264664789,0.26483700826671097,0.4187685947450802
POL,70,0.2,0,0,0,31020,90941,682,0.25434360164314823,0.9784871616932685,0.25292923362931435,0.4037406532476914
PRT,70,0.2,0,0,0,12657,25150,1811,0.33477927367947735,0.8748272048659109,0.31947599575950325,0.48424677187948356
ITA,70,0.2,0,0,0,42530,61692,2294,0.40807123256126343,0.9488220596109227,0.399282736865823,0.570696295103525
ROU,70,0.2,0,0,0,16921,57657,2621,0.22688996755075222,0.8658786204073278,0.21918677703079056,0.35956226094347643
FRA,70,0.2,0,0,0,60941,113522,18038,0.3493061566062718,0.7716101748566074,0.3165749788312788,0.48090687415661176
GBR,70,0.2,0,0,0,23052,59025,9166,0.2808582185021382,0.7155006518095475,0.25264403844678496,0.40337722560041994
UKR,70,0.2,0,0,0,58825,62008,66167,0.48682892918325293,0.47063012032770096,0.314572192513369,0.47859249466083603
