country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,59,5,0.4326923076923077,0.9,0.41284403669724773,0.5844155844155844
BIH,70,0.2,0,0,0,2684,9069,642,0.22836722538926232,0.8069753457606735,0.21653892698668817,0.3559917766430135
BEL,70,0.2,0,0,0,8360,14063,788,0.37283146768942604,0.9138609532138172,0.360174055404765,0.529599949320579
CHE,70,0.2,0,0,0,6908,5106,707,0.5749958381887798,0.9071569271175312,0.5430390692555617,0.7038565387946405
AUT,70,0.2,0,0,0,7283,15236,840,0.3234157822283405,0.896589929828881,0.3117856072605848,0.47536061614777103
EST,70,0.2,0,0,0,3196,4744,3606,0.4025188916876574,0.46986180535136723,0.27680582019747096,0.4335911002577669
BGR,70,0.2,0,0,0,7970,27240,1340,0.22635614882135757,0.8560687432867884,0.2180574555403557,0.3580413297394429
ALB,70,0.2,0,0,0,1576,3731,141,0.2969662709628792,0.9178800232964472,0.28928046989721,0.44874715261959
DNK,70,0.2,0,0,0,7682,11025,5891,0.41064842037739885,0.5659765711338687,0.3123018131555411,0.4759603469640645
GRC,70,0.2,0,0,0,7539,38560,487,0.16353933924813988,0.9393222028407675,0.16182973425492636,0.2785773672055427
HUN,70,0.2,0,0,0,5919,26202,80,0.18427197160735967,0.9866644440740123,0.18381416726188626,0.31054564533053514
IRL,70,0.2,0,0,0,3160,18098,162,0.14864992003010633,0.9512341962673089,0.14752567693744165,0.257119609438568
BLR,70,0.2,0,0,0,12766,18569,15828,0.4074038614967289,0.44645729873400014,0.2706782859444904,0.42603747768192357
HRV,70,0.2,0,0,0,6251,11572,937,0.35072658923862426,0.8696438508625487,0.3332089552238806,0.4998600615729079
LIE,70,0.2,0,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
DEU,70,0.2,0,0,0,45209,99278,3317,0.3128932014644916,0.9316448913984255,0.3058712890043571,0.468455492635211
CZE,70,0.2,0,0,0,11691,23346,341,0.3336758284099666,0.9716589095744681,0.330459607665781,0.49676007563364427
LUX,70,0.2,0,0,0,1024,1065,6,0.49018669219722355,0.9941747572815534,0.48878281622911696,0.6566207117665919
MKD,70,0.2,0,0,0,1184,5397,42,0.17991186749734084,0.965742251223491,0.1787709497206704,0.3033175355450237
LTU,70,0.2,0,0,0,4979,6714,6065,0.42581031386299495,0.45083303151032234,0.28038067349926793,0.4379645511720983
ESP,70,0.2,0,0,0,36582,93740,9617,0.28070471601111097,0.7918353211108465,0.26141390177148616,0.4144775975662952
MNE,70,0.2,0,0,0,724,1536,337,0.32035398230088497,0.6823751178133836,0.27878321139776663,0.4360132490213791
NLD,70,0.2,0,0,0,4732,14426,683,0.24699864286459963,0.8738688827331487,0.23849604354619222,0.385138159768852
MDA,70,0.2,0,0,0,3980,4640,3500,0.4617169373549884,0.5320855614973262,0.32838283828382836,0.49440993788819876
LVA,70,0.2,0,0,0,2283,7218,348,0.2402904957372908,0.8677309007981756,0.23180018275967104,0.37636003956478736
SVN,70,0.2,0,0,0,2126,4634,227,0.31449704142011836,0.9035274118147046,0.30427937598397026,0.46658619554482605
SRB,70,0.2,0,0,0,5611,20035,332,0.2187865554082508,0.9441359582702339,0.2159904534606205,0.35525024533856725
SVK,70,0.2,0,0,0,4846,10051,762,0.32530039605289657,0.8641226818830242,0.3094705919918258,0.47266520360887593
PRT,70,0.2,0,0,0,13141,26497,1636,0.33152530400121094,0.8892874061040806,0.31838445510490865,0.4829918221078747
FRA,70,0.2,0,0,0,62943,118116,17375,0.347638062730933,0.78367240220125,0.3171986655512664,0.4816261568538931
ITA,70,0.2,0,0,0,43066,64211,2213,0.4014467220373426,0.9511252456988891,0.39333272444972145,0.5645926741655523
POL,70,0.2,0,0,0,31561,97222,634,0.24507116622535582,0.9803075011647772,0.24387058887163202,0.39211569282759134
ROU,70,0.2,0,0,0,17448,61151,2451,0.2219875570936017,0.8768279813055933,0.2152745219000617,0.3542813052041666
GBR,70,0.2,0,0,0,23685,61975,8858,0.2765001167406024,0.727806287066343,0.2505871897416365,0.40075124996827494
UKR,70,0.2,0,0,0,65435,69767,61233,0.483979526930075,0.516586667508763,0.3331127344923257,0.49975178523694963
