country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
BIH,70,0.2,0,0,0,2560,8386,696,0.23387538826968757,0.7862407862407862,0.21989348909122144,0.36051260385861145
BGR,70,0.2,0,0,0,7216,24928,1521,0.22448979591836735,0.8259127847087101,0.21434724491311452,0.35302463246985155
CHE,70,0.2,0,0,0,6640,4986,750,0.5711336659212111,0.8985115020297699,0.5365223012281836,0.698359276398822
BEL,70,0.2,0,0,0,8134,13496,805,0.37605177993527505,0.9099451840250588,0.3625585023400936,0.5321731165559881
ALB,70,0.2,0,0,0,1428,3498,204,0.28989037758830694,0.875,0.2783625730994152,0.43549862763037506
AUT,70,0.2,0,0,0,7130,14421,909,0.33084311632870866,0.8869262346062943,0.317453250222618,0.48191956742142616
DNK,70,0.2,0,0,0,7052,10299,6234,0.4064319059420206,0.5307842842089417,0.29900360398558407,0.46035839018180635
EST,70,0.2,0,0,0,2926,4173,3850,0.41217072827158757,0.4318181818181818,0.2672390172618504,0.4217657657657658
HUN,70,0.2,0,0,0,5853,23604,80,0.19869640492921886,0.9865160964099107,0.19815824220469241,0.33077140435151176
GRC,70,0.2,0,0,0,7344,36108,509,0.16901408450704225,0.9351840061123138,0.16705716430472464,0.28628788617093853
BLR,70,0.2,0,0,0,11028,15963,17182,0.40858063799044125,0.39092520382842966,0.24965476648631518,0.39955797902211915
IRL,70,0.2,0,0,0,3086,15898,155,0.16255794353139486,0.9521752545510644,0.1612414441715868,0.2777052868391451
HRV,70,0.2,0,0,0,5979,10665,975,0.35922855082912764,0.859792924935289,0.3393495658096373,0.5067378591406052
LIE,70,0.2,0,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
DEU,70,0.2,0,0,0,44630,92714,3350,0.32495048928238585,0.9301792413505627,0.31721324292436065,0.48164296043685656
LUX,70,0.2,0,0,0,985,1104,4,0.47151747247486836,0.9959555106167847,0.47061634018155757,0.6400259909031839
LVA,70,0.2,0,0,0,2176,6386,358,0.2541462275169353,0.8587213891081295,0.24394618834080717,0.3922134102379235
MKD,70,0.2,0,0,0,1022,4983,137,0.17019150707743547,0.8817946505608283,0.16639531097362423,0.2853154662199889
CZE,70,0.2,0,0,0,11353,21847,369,0.3419578313253012,0.9685207302508104,0.33819893353987307,0.5054538978674147
LTU,70,0.2,0,0,0,4128,6077,6675,0.4045075943165115,0.3821160788669814,0.24454976303317535,0.392993145468393
MNE,70,0.2,0,0,0,667,1391,325,0.3241010689990282,0.6723790322580645,0.2798992866135124,0.4373770491803279
NLD,70,0.2,0,0,0,4714,13721,685,0.2557092487116897,0.8731246527134655,0.2465481171548117,0.3955693547033649
MDA,70,0.2,0,0,0,3487,3920,3986,0.47077089239908193,0.46661314063963605,0.3060651277099974,0.46868279569892474
SRB,70,0.2,0,0,0,5422,18353,348,0.2280546792849632,0.9396880415944541,0.22476474733656676,0.36703333897444573
PRT,70,0.2,0,0,0,12461,24558,1903,0.33661092952267757,0.8675160122528544,0.3201531267663532,0.48502422980363163
SVK,70,0.2,0,0,0,4720,9401,799,0.3342539480206784,0.8552273962674397,0.3163538873994638,0.4806517311608961
ESP,70,0.2,0,0,0,34112,84229,10345,0.28825174706990814,0.767303236835594,0.2650793404099902,0.41907148736470967
SVN,70,0.2,0,0,0,2041,4252,240,0.32432861910058797,0.8947829899167032,0.3124138986682994,0.4760905061814789
POL,70,0.2,0,0,0,30956,88427,704,0.2592999003208162,0.977763739734681,0.25777977632882826,0.4098965195341724
ROU,70,0.2,0,0,0,16800,55971,2686,0.23086119470668262,0.8621574463717541,0.22264335979431996,0.3642000065035716
ITA,70,0.2,0,0,0,42332,60749,2296,0.4106673392768794,0.9485524782647665,0.401719540317147,0.573181051933193
FRA,70,0.2,0,0,0,60142,110717,18544,0.35199784617725727,0.7643291055588033,0.31753456914621203,0.4820132641407361
GBR,70,0.2,0,0,0,23027,57694,9268,0.2852665353501567,0.7130205914228208,0.25588683061263046,0.4074998230339067
UKR,70,0.2,0,0,0,55618,60135,68465,0.4804886266446658,0.44823223165139464,0.30191403663051386,0.46380026351340087
