country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,49,5,0.4895833333333333,0.9038461538461539,0.46534653465346537,0.6351351351351351
CHE,70,0.2,0,0,0,6716,4991,734,0.5736738703339882,0.901476510067114,0.5398279881038501,0.7011536253066764
BIH,70,0.2,0,0,0,2619,8529,671,0.23493003229278794,0.796048632218845,0.22159235129875623,0.36279263055824906
BEL,70,0.2,0,0,0,8180,13652,801,0.37467936973250277,0.9108117136176372,0.36141916670348606,0.5309447311199819
BGR,70,0.2,0,0,0,7492,25148,1513,0.22953431372549019,0.8319822320932815,0.21936579509852722,0.3598030976107576
AUT,70,0.2,0,0,0,7183,14523,869,0.33092232562425133,0.8920765027322405,0.31818383167220377,0.48276093823509636
ALB,70,0.2,0,0,0,1470,3423,158,0.30042918454935624,0.902948402948403,0.2910314789150663,0.4508510964575985
DNK,70,0.2,0,0,0,7304,10513,6032,0.4099455576135152,0.5476904619076185,0.30626022055432095,0.4689115013000353
EST,70,0.2,0,0,0,2980,4314,3877,0.4085549766931725,0.43459238734140293,0.2667621520007161,0.4211716486467387
HUN,70,0.2,0,0,0,5867,24273,88,0.1946582614465826,0.9852225020990764,0.1940915707291253,0.32508657708823935
IRL,70,0.2,0,0,0,3090,16590,154,0.15701219512195122,0.9525277435265105,0.15579308258545932,0.2695864596056535
GRC,70,0.2,0,0,0,7417,36529,509,0.16877531515951394,0.9357809740095887,0.1668428748172309,0.28597316471314005
HRV,70,0.2,0,0,0,6037,10906,977,0.3563123413799209,0.8607071571143428,0.33688616071428573,0.5039863088032726
LIE,70,0.2,0,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
BLR,70,0.2,0,0,0,11638,16396,16798,0.4151387600770493,0.409269939513293,0.25959136331192006,0.4121834602443775
DEU,70,0.2,0,0,0,44564,92778,3414,0.32447466907428174,0.9288423860936262,0.31660462076217,0.4809410748974746
LUX,70,0.2,0,0,0,966,1039,5,0.48179551122194514,0.9948506694129763,0.48059701492537316,0.6491935483870969
LTU,70,0.2,0,0,0,4395,6047,6612,0.4208963800038307,0.3992913600436086,0.2577108009851061,0.40980931511958596
MKD,70,0.2,0,0,0,1084,4988,119,0.1785243741765481,0.9010806317539485,0.17509287675658214,0.2980068728522337
LVA,70,0.2,0,0,0,2206,6370,349,0.2572294776119403,0.8634050880626223,0.24717086834733892,0.39637049681070885
MNE,70,0.2,0,0,0,662,1409,347,0.3196523418638339,0.6560951437066402,0.2737799834574028,0.42987012987012985
CZE,70,0.2,0,0,0,11495,21926,339,0.3439454235361001,0.9713537265506169,0.34049170616113744,0.5080101646226937
MDA,70,0.2,0,0,0,3602,4102,3830,0.4675493250259605,0.48466092572658775,0.3122940870469915,0.47595137420718814
NLD,70,0.2,0,0,0,4690,13951,691,0.2515959444235824,0.8715852072105557,0.2426029381336644,0.3904753975522437
SRB,70,0.2,0,0,0,5459,18601,320,0.2268911055694098,0.9446270981138605,0.22391304347826088,0.3658969804618117
PRT,70,0.2,0,0,0,12649,24963,1813,0.3363022439646921,0.8746369796708615,0.32083703233988586,0.4858086569113185
SVK,70,0.2,0,0,0,4782,9386,765,0.3375211744776962,0.8620876149269876,0.32023036228487245,0.4851128582297743
POL,70,0.2,0,0,0,30971,88942,665,0.25827891888285676,0.9789796434441775,0.2568544842342716,0.408725890636032
SVN,70,0.2,0,0,0,2073,4211,231,0.3298854232972629,0.8997395833333334,0.31818879508825787,0.48276665114112716
ESP,70,0.2,0,0,0,35112,86558,10035,0.2885838744143996,0.7777260947571267,0.26659580122242893,0.42096429021023035
ROU,70,0.2,0,0,0,16907,57384,2649,0.22757803771654708,0.8645428512988341,0.21974265661554457,0.3603098660585847
ITA,70,0.2,0,0,0,42559,61445,2281,0.40920541517633935,0.9491302408563782,0.4004233899421367,0.5718604713659939
FRA,70,0.2,0,0,0,60986,111958,18145,0.35263437875844206,0.7706966928258204,0.3191497155775581,0.4838718635326788
GBR,70,0.2,0,0,0,23008,57752,9357,0.28489351163942545,0.7108913950254905,0.2553125381448561,0.406771270718232
UKR,70,0.2,0,0,0,58589,61756,66511,0.4868419959283726,0.4683373301358913,0.31355161193646447,0.47741041781254456
