country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
CHE,70,0.2,1,0,0,6540,5087,623,0.5624838737421519,0.9130252687421472,0.5338775510204081,0.6961149547631719
BIH,70,0.2,1,0,0,2546,8312,706,0.23448148830355497,0.7829028290282903,0.2201660325147008,0.36087880935506733
BGR,70,0.2,1,0,0,7164,24489,1566,0.22632925789024738,0.8206185567010309,0.2156597128149553,0.354802763539113
ALB,70,0.2,1,0,0,1412,3408,203,0.2929460580912863,0.8743034055727554,0.281106908222178,0.4388500388500388
BEL,70,0.2,1,0,0,7405,14183,284,0.3430146377617195,0.9630641175705553,0.33856071689831746,0.5058578406257471
EST,70,0.2,1,0,0,2818,4203,3774,0.4013673265916536,0.4274878640776699,0.26104678091709127,0.4140160141041651
AUT,70,0.2,1,0,0,6561,14758,326,0.30775364698156576,0.952664440249746,0.30311850311850314,0.4652201659221442
DNK,70,0.2,1,0,0,5938,11338,4195,0.3437138226441306,0.5860061186223231,0.27655907968888266,0.43328833594804633
HUN,70,0.2,1,0,0,5518,23727,55,0.1886818259531544,0.9901309886954961,0.18832764505119454,0.31696249066574755
GRC,70,0.2,1,0,0,7337,35670,428,0.1706001348617667,0.9448808757244044,0.1689190744791067,0.2890175687386749
HRV,70,0.2,1,0,0,5907,10665,922,0.3564446053584359,0.8649875530824426,0.337658625814565,0.5048502200760651
IRL,70,0.2,1,0,0,2877,16046,6,0.15203720340326587,0.9979188345473465,0.15198901156954936,0.26387232871686694
LIE,70,0.2,1,0,0,26,100,0,0.20634920634920634,1.0,0.20634920634920634,0.34210526315789475
ESP,70,0.2,1,0,0,33519,84015,9435,0.28518556332635664,0.78034641709736,0.2639935732344115,0.417713473904591
LUX,70,0.2,1,0,0,980,1018,4,0.4904904904904905,0.9959349593495935,0.48951048951048953,0.6572769953051644
BLR,70,0.2,1,0,0,10954,15821,17171,0.4091129785247432,0.3894755555555556,0.24926045601419924,0.39905282331511843
LVA,70,0.2,1,0,0,1836,6324,159,0.225,0.9203007518796993,0.22069960331770647,0.3615952732644018
MKD,70,0.2,1,0,0,1023,4878,136,0.1733604473817997,0.8826574633304572,0.169455027331456,0.28980169971671393
LTU,70,0.2,1,0,0,4075,5952,6721,0.4064027126757754,0.3774546128195628,0.24331263434439934,0.39139413148921864
MDA,70,0.2,1,0,0,3490,3905,3986,0.4719405003380663,0.4668271803103264,0.30665143660486777,0.4693699145988838
MNE,70,0.2,1,0,0,668,1365,321,0.32857845548450565,0.6754297269969667,0.28377230246389124,0.4420913302448709
CZE,70,0.2,1,0,0,10829,21852,322,0.3313546097120651,0.9711236660389203,0.32812168590734175,0.49411388939587514
NLD,70,0.2,1,0,0,3883,14517,40,0.21103260869565219,0.9898037216416008,0.21057483731019522,0.34789230838149
DEU,70,0.2,1,0,0,41540,93631,644,0.3073144387479563,0.9847335482647449,0.3058572322644774,0.4684390065123622
SVN,70,0.2,1,0,0,2016,4188,225,0.32495164410058025,0.8995983935742972,0.3135790947270182,0.47744227353463586
SRB,70,0.2,1,0,0,5420,18148,343,0.22997284453496267,0.9404823876453237,0.22667391577098406,0.3695748525450888
POL,70,0.2,1,0,0,29420,87541,451,0.2515368370653466,0.9849017441665829,0.2505706401389977,0.40073008608477717
ITA,70,0.2,1,0,0,41849,60922,2110,0.4072063130649697,0.9520007279510453,0.3990141207654389,0.5704218632863082
SVK,70,0.2,1,0,0,4695,9190,700,0.33813467770975875,0.8702502316960148,0.3219060678779568,0.48703319502074693
PRT,70,0.2,1,0,0,12330,24432,1930,0.3354006854904521,0.864656381486676,0.31867052620696784,0.48332092038728397
ROU,70,0.2,1,0,0,16754,55662,2708,0.23135771100309324,0.8608570547734046,0.22301794366647143,0.3647010165654455
FRA,70,0.2,1,0,0,53372,115602,16129,0.31585924461751513,0.7679313966705515,0.2883367638557992,0.4476108606772199
GBR,70,0.2,1,0,0,19651,59536,4413,0.24815942010683573,0.8166140292553191,0.2350598086124402,0.3806452237750724
UKR,70,0.2,1,0,0,55321,59834,68539,0.48040467196387476,0.4466413692879057,0.30115844828900235,0.4629081856787231
