country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BIH,70,0.2,1,0,0,2546,8303,708,0.23467600700525393,0.7824216349108789,0.22029938565371637,0.36105793093668015
BGR,70,0.2,1,0,0,7135,24376,1592,0.2264288661102472,0.8175776326343531,0.2155393770957315,0.35463989263879914
ALB,70,0.2,1,0,0,1405,3369,204,0.29430247172182655,0.8732131758856433,0.282241864202491,0.4402318658937804
CHE,70,0.2,1,0,0,6539,5058,623,0.5638527205311719,0.9130131248254677,0.5351063829787234,0.6971586971586973
BEL,70,0.2,1,0,0,7400,14172,281,0.34303727053587985,0.9634162218461138,0.33862627556857183,0.5059310156223292
EST,70,0.2,1,0,0,2790,4180,3798,0.40028694404591103,0.42349726775956287,0.25910104011887075,0.411565127599941
AUT,70,0.2,1,0,0,6574,14692,330,0.30913194770995955,0.9522016222479722,0.304408223745138,0.4667376641817536
BLR,70,0.2,1,0,0,10985,15721,17127,0.41133078708904364,0.3907583949914627,0.2506102708005384,0.4007807654420081
DNK,70,0.2,1,0,0,5957,11301,4199,0.3451732529841233,0.5865498227648681,0.2776250174768141,0.43459546217261263
CZE,70,0.2,1,0,0,10829,21761,319,0.3322798404418533,0.9713850017940437,0.32905892005226534,0.4951758196533907
GRC,70,0.2,1,0,0,7323,35488,426,0.17105416832122586,0.9450251645373596,0.1693688276244883,0.2896756329113924
HUN,70,0.2,1,0,0,5534,23611,57,0.18987819523074284,0.9898050438204257,0.18950756797479626,0.31863196683555967
HRV,70,0.2,1,0,0,5911,10633,929,0.3572896518375242,0.8641812865497076,0.33829336690894524,0.5055593568251797
LIE,70,0.2,1,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
IRL,70,0.2,1,0,0,2876,16041,6,0.15203256330284928,0.9979181124219292,0.1519843576599905,0.2638653149227029
LUX,70,0.2,1,0,0,963,1011,4,0.4878419452887538,0.9958634953464323,0.48685540950455003,0.6548792927575654
LTU,70,0.2,1,0,0,4010,5935,6783,0.4032176973353444,0.3715371073844158,0.23971783835485413,0.3867296749927669
MKD,70,0.2,1,0,0,1049,4816,129,0.17885763000852514,0.8904923599320883,0.17500834167500834,0.2978844242510294
LVA,70,0.2,1,0,0,1847,6265,159,0.22768737672583828,0.9207377866400798,0.2233103615040503,0.36509191539830005
MNE,70,0.2,1,0,0,664,1369,321,0.3266109198229218,0.6741116751269035,0.2820730671197961,0.440026507620941
MDA,70,0.2,1,0,0,3496,3902,3972,0.4725601513922682,0.468130690948045,0.3074758135444151,0.47033499260056505
DEU,70,0.2,1,0,0,41500,93128,652,0.3082568262174288,0.9845321692920858,0.3067711413364873,0.4695101255798167
NLD,70,0.2,1,0,0,3880,14513,40,0.2109498178654923,0.9897959183673469,0.2104920522975099,0.3477793214717877
PRT,70,0.2,1,0,0,12302,24372,1947,0.3354420025085892,0.8633588321987508,0.3185313689443567,0.48316085069614906
SRB,70,0.2,1,0,0,5414,18116,341,0.2300892477688058,0.9407471763683753,0.2268023962129781,0.36974560355130615
SVK,70,0.2,1,0,0,4688,9152,698,0.33872832369942196,0.870404753063498,0.32246526344751686,0.48767294288983665
SVN,70,0.2,1,0,0,2042,4137,211,0.3304741867616119,0.906347092765202,0.3195618153364632,0.48434535104364324
ITA,70,0.2,1,0,0,41866,60864,2111,0.40753431324832085,0.951997635127453,0.3993285069772322,0.5707430456624428
ROU,70,0.2,1,0,0,16729,55571,2703,0.23138312586445367,0.8608995471387402,0.22304441155687105,0.3647364060524136
POL,70,0.2,1,0,0,29398,86865,454,0.25285774494035074,0.9847916387511725,0.25187419142027295,0.402395373507169
ESP,70,0.2,1,0,0,33538,83749,9437,0.2859481442956167,0.7804072134962188,0.26465389350083646,0.4185396413373102
FRA,70,0.2,1,0,0,53294,115172,16268,0.3163486994408367,0.7661366838216267,0.28849047820108914,0.4477960576066681
GBR,70,0.2,1,0,0,19577,59151,4472,0.24866629407580532,0.8140463220923947,0.23530048076923077,0.38096072078383303
UKR,70,0.2,1,0,0,55261,59760,68656,0.4804427017675033,0.4459517257519146,0.30085966125317815,0.4625551398270681
