country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BIH,70,0.2,0,0,0,2545,8303,708,0.23460545722713863,0.7823547494620351,0.2202319141571478,0.3609673072831714
CHE,70,0.2,0,0,0,6636,4966,749,0.5719703499396656,0.8985781990521327,0.5372844304104931,0.6990045820824774
AUT,70,0.2,0,0,0,7153,14119,895,0.33626363294471606,0.8887922465208747,0.32268687688906933,0.4879263301500682
BEL,70,0.2,0,0,0,8136,13436,806,0.3771555720378268,0.9098635651979423,0.3635713647332201,0.5332634200694764
BGR,70,0.2,0,0,0,7155,24373,1595,0.22694113169246385,0.8177142857142857,0.2160130422968934,0.3552807984507672
ALB,70,0.2,0,0,0,1413,3357,204,0.2962264150943396,0.8738404452690167,0.28407720144752713,0.4424612494128698
EST,70,0.2,0,0,0,2873,4107,3931,0.41160458452722065,0.42225161669606115,0.2633122536889378,0.41686012768427166
DNK,70,0.2,0,0,0,7026,10229,6259,0.40718632280498407,0.5288671433948062,0.2988007144679765,0.46011787819253436
HUN,70,0.2,0,0,0,5870,23281,86,0.20136530479228842,0.9855607790463399,0.20077299312514965,0.3344062437690489
IRL,70,0.2,0,0,0,3089,15826,155,0.163309542690986,0.9522194821208385,0.16198217094913478,0.27880319509003115
BLR,70,0.2,0,0,0,11054,15656,17139,0.4138524897042306,0.3920831412052637,0.2520924080366713,0.4026738065315193
GRC,70,0.2,0,0,0,7331,35500,506,0.17116107492236932,0.9354344774786271,0.16916260931767313,0.28937396384305675
ESP,70,0.2,0,0,0,34109,83200,10380,0.29076200462027635,0.7666838993908607,0.2671255942171996,0.42162449474035524
LIE,70,0.2,0,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
CZE,70,0.2,0,0,0,11374,21216,352,0.3490027615833078,0.9699812382739212,0.3452735110193674,0.5133134759454825
LTU,70,0.2,0,0,0,4033,5924,6785,0.40504167922064876,0.3728045849510076,0.24089117190299844,0.38825511432009624
LUX,70,0.2,0,0,0,971,1002,4,0.49214394323365435,0.9958974358974358,0.49114820435002526,0.658751696065129
MKD,70,0.2,0,0,0,1048,4821,129,0.17856534332935764,0.8903993203058623,0.1747249083027676,0.2974737439682089
DEU,70,0.2,0,0,0,44400,90241,3453,0.32976582170364155,0.9278415146385807,0.3215201239735253,0.48659133998925996
MNE,70,0.2,0,0,0,668,1365,325,0.32857845548450565,0.6727089627391742,0.28329092451229854,0.4415069398545935
HRV,70,0.2,0,0,0,5960,10580,1000,0.3603385731559855,0.8563218390804598,0.33979475484606614,0.5072340425531915
LVA,70,0.2,0,0,0,2173,5944,351,0.2677097449796723,0.8609350237717908,0.25661313179026923,0.4084202612536416
NLD,70,0.2,0,0,0,4703,13694,686,0.2556395064412676,0.87270365559473,0.24644971964575801,0.39544269738501636
ITA,70,0.2,0,0,0,42350,60382,2289,0.4122376669392205,0.9487219695781716,0.40325268279677395,0.5747399420510141
MDA,70,0.2,0,0,0,3496,3902,3972,0.4725601513922682,0.468130690948045,0.3074758135444151,0.47033499260056505
SVN,70,0.2,0,0,0,2080,4097,226,0.33673304192973935,0.9019947961838681,0.32484772762767455,0.4903925498054933
SRB,70,0.2,0,0,0,5418,18116,341,0.23022010707911958,0.9407883313075187,0.22693193717277488,0.369917727784795
SVK,70,0.2,0,0,0,4727,9115,772,0.3414968935124982,0.8596108383342426,0.32345695908033395,0.4888061630732641
PRT,70,0.2,0,0,0,12367,24301,1949,0.33726955383440604,0.8638586197261805,0.3202475593650465,0.4851325906166641
POL,70,0.2,0,0,0,30907,85352,702,0.2658460850342769,0.97779113543611,0.2642504766546114,0.4180350041929288
ROU,70,0.2,0,0,0,16741,55566,2708,0.23152668482996114,0.8607640495655303,0.22316869959341465,0.36490256767949775
FRA,70,0.2,0,0,0,59974,108501,18830,0.35598159964386406,0.7610527384396731,0.3201943354421932,0.4850715184063345
GBR,70,0.2,0,0,0,22840,55886,9524,0.29012016360541626,0.7057224076133976,0.2588101983002833,0.4111981276442524
UKR,70,0.2,0,0,0,55362,59660,68636,0.48131661769052875,0.44647494314424424,0.30144072134075295,0.46324156974311775
