country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
CHE,70,0.2,1,0,0,6542,5059,623,0.563916903715197,0.913049546406141,0.5351767015706806,0.6972183736544815
BIH,70,0.2,1,0,0,2546,8303,708,0.23467600700525393,0.7824216349108789,0.22029938565371637,0.36105793093668015
BGR,70,0.2,1,0,0,7142,24375,1593,0.22660786242345402,0.8176302232398397,0.2157052250075506,0.3548643545662327
ALB,70,0.2,1,0,0,1405,3369,204,0.29430247172182655,0.8732131758856433,0.282241864202491,0.4402318658937804
BEL,70,0.2,1,0,0,7402,14170,281,0.34312998331170036,0.9634257451516335,0.3387177961835904,0.5060331567253461
EST,70,0.2,1,0,0,2784,4190,3795,0.39919701749354747,0.42316461468308253,0.25851982542483054,0.4108315502102855
AUT,70,0.2,1,0,0,6578,14685,328,0.3093636833936886,0.9525050680567623,0.30466398036218795,0.4670382335191167
DNK,70,0.2,1,0,0,5959,11301,4198,0.34524913093858633,0.5866889829674117,0.2777052847422873,0.4346938031148557
HUN,70,0.2,1,0,0,5532,23614,57,0.18980306045426473,0.989801395598497,0.18943259254186215,0.31852598243846264
GRC,70,0.2,1,0,0,7326,35506,426,0.17104034366828538,0.945046439628483,0.16935595727957833,0.2896568084769887
HRV,70,0.2,1,0,0,5913,10631,931,0.3574105415860735,0.863968439509059,0.33836909871244636,0.5056439199589533
IRL,70,0.2,1,0,0,2876,16041,6,0.15203256330284928,0.9979181124219292,0.1519843576599905,0.2638653149227029
LIE,70,0.2,1,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
ESP,70,0.2,1,0,0,33533,83759,9439,0.2858933260580432,0.7803453411523783,0.2645998216695205,0.4184720211650777
LUX,70,0.2,1,0,0,968,1007,4,0.490126582278481,0.9958847736625515,0.48913592723597776,0.656939260264676
BLR,70,0.2,1,0,0,10986,15721,17128,0.41135282884636987,0.39076616632282846,0.2506216493669442,0.4007953156637055
LVA,70,0.2,1,0,0,1846,6270,159,0.22745194677180877,0.9206982543640898,0.22308157099697884,0.3647860883311926
MKD,70,0.2,1,0,0,1048,4818,129,0.1786566655301739,0.8903993203058623,0.17481234361968306,0.29760045435183874
LTU,70,0.2,1,0,0,4006,5936,6786,0.4029370348018507,0.3712008895478132,0.23947871831659492,0.38641844313687657
MDA,70,0.2,1,0,0,3496,3902,3972,0.4725601513922682,0.468130690948045,0.3074758135444151,0.47033499260056505
MNE,70,0.2,1,0,0,664,1369,321,0.3266109198229218,0.6741116751269035,0.2820730671197961,0.440026507620941
NLD,70,0.2,1,0,0,3880,14512,40,0.21096128751631144,0.9897959183673469,0.2105034722222222,0.34779490856937967
CZE,70,0.2,1,0,0,10819,21765,322,0.33203412717898356,0.9710977470604075,0.32878502400777976,0.4948656375071469
DEU,70,0.2,1,0,0,41501,93136,652,0.3082436477342781,0.9845325362370413,0.3067581251986488,0.4694948809321794
SVN,70,0.2,1,0,0,2043,4137,211,0.33058252427184465,0.9063886424134872,0.3196682835237052,0.48446763101731083
SRB,70,0.2,1,0,0,5416,18118,341,0.2301351236508881,0.940767760986625,0.226848167539267,0.36980642518179646
POL,70,0.2,1,0,0,29381,86871,454,0.2527354368096893,0.9847829730182671,0.25175226637876374,0.40223976123816635
ITA,70,0.2,1,0,0,41876,60870,2109,0.40756817783660676,0.9520518358531318,0.3993705593438558,0.5707859961426012
SVK,70,0.2,1,0,0,4688,9153,698,0.33870385087782673,0.870404753063498,0.32244308411857764,0.4876475789254694
PRT,70,0.2,1,0,0,12309,24367,1941,0.33561457083651436,0.8637894736842106,0.31874563016288165,0.4834072968621137
ROU,70,0.2,1,0,0,16725,55580,2703,0.23131180416292096,0.8608709079678815,0.22297621587030717,0.36464522036780656
FRA,70,0.2,1,0,0,53286,115169,16265,0.31632186637380905,0.7661428304409714,0.28846903421394543,0.44777022428006025
GBR,70,0.2,1,0,0,19579,59150,4487,0.2486885391659998,0.8135543920884235,0.2352792732166891,0.3809329247531495
UKR,70,0.2,1,0,0,55272,59751,68642,0.4805299809603297,0.4460512936391368,0.30093920997468215,0.4626491501944027
