country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,52,5,0.4639175257731959,0.9,0.4411764705882353,0.6122448979591837
BIH,70,0.2,0,0,0,2620,8591,665,0.2336990455802337,0.7975646879756468,0.22061300101044123,0.36147902869757176
CHE,70,0.2,0,0,0,6721,5021,729,0.5723897121444388,0.9021476510067115,0.5389303183385454,0.7003959983326387
AUT,70,0.2,0,0,0,7180,14960,857,0.32429990966576333,0.8933681722035586,0.3122146366917424,0.47585909798853426
BEL,70,0.2,0,0,0,8187,13698,801,0.37409184372858123,0.9108811748998665,0.3608833641893679,0.5303663395199689
BGR,70,0.2,0,0,0,7510,25902,1429,0.22476954387645157,0.8401387179774024,0.21555064435578772,0.3546551439163184
ALB,70,0.2,0,0,0,1496,3557,132,0.2960617454977241,0.918918918918919,0.28852459016393445,0.44783715012722647
BLR,70,0.2,0,0,0,11666,16720,16728,0.4109772423025435,0.4108614496020286,0.258589351420845,0.41091933779499823
EST,70,0.2,0,0,0,3062,4415,3730,0.4095225357763809,0.45082449941107183,0.2732220933345231,0.4291821431074357
DNK,70,0.2,0,0,0,7318,10545,6014,0.4096736270503275,0.5489048904890489,0.3064874146668342,0.4691777528450072
CZE,70,0.2,0,0,0,11454,22691,356,0.33545174989017423,0.9698560541913632,0.3319903770905191,0.4984876509628985
GRC,70,0.2,0,0,0,7433,37063,483,0.16704872348076233,0.9389843355229914,0.1652548967295849,0.28363733496145926
HUN,70,0.2,0,0,0,5874,24597,82,0.19277345672934923,0.986232370718603,0.19225607959938468,0.32250802975814646
HRV,70,0.2,0,0,0,6038,10980,955,0.3548007991538371,0.8634348634348634,0.33594836699493685,0.5029361542626296
LIE,70,0.2,0,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
IRL,70,0.2,0,0,0,3090,16620,154,0.1567732115677321,0.9525277435265105,0.15555779299234795,0.26923412041474254
LUX,70,0.2,0,0,0,996,1147,3,0.4647690153989734,0.996996996996997,0.4641192917054986,0.633991088478676
LTU,70,0.2,0,0,0,4391,6330,6598,0.40957000279824646,0.3995813995813996,0.25353657832438364,0.40451404882542613
MKD,70,0.2,0,0,0,1051,5172,123,0.16888960308532863,0.8952299829642248,0.16561613614875512,0.28416925780721913
MDA,70,0.2,0,0,0,3602,4102,3830,0.4675493250259605,0.48466092572658775,0.3122940870469915,0.47595137420718814
LVA,70,0.2,0,0,0,2220,6848,333,0.24481693868548743,0.8695652173913043,0.2361450909477715,0.3820669477669736
MNE,70,0.2,0,0,0,669,1429,347,0.31887511916110584,0.6584645669291339,0.27361963190184047,0.4296724470134875
SRB,70,0.2,0,0,0,5464,18902,329,0.2242469014200115,0.9432073191783187,0.22125936424377404,0.36234623163898005
NLD,70,0.2,0,0,0,4695,13973,691,0.25149989286479535,0.8717044188637207,0.2425228575856191,0.3903716637565477
SVK,70,0.2,0,0,0,4782,9721,762,0.32972488450665377,0.8625541125541125,0.31326564035375043,0.47707886466803007
ITA,70,0.2,0,0,0,42521,61819,2295,0.40752348092773627,0.9487906104962514,0.3987527547240587,0.5701547373219984
SVN,70,0.2,0,0,0,2051,4350,242,0.3204186845805343,0.894461404273877,0.3087460484720759,0.4718196457326892
DEU,70,0.2,0,0,0,44696,95333,3264,0.3191910247163088,0.9319432860717264,0.31192033106990574,0.4755171845161153
PRT,70,0.2,0,0,0,12684,25428,1789,0.33280856423173805,0.8763905202791404,0.31788676975514396,0.4824189407625749
ROU,70,0.2,0,0,0,16921,57857,2620,0.2262831314022841,0.8659229312727087,0.21862322023824904,0.35880363447449615
POL,70,0.2,0,0,0,31038,92050,690,0.25216105550500456,0.9782526475037822,0.250755384640243,0.40096630839189745
ESP,70,0.2,0,0,0,35059,87528,10028,0.2859928051098404,0.777585556812385,0.2643667760057309,0.41818051695552094
FRA,70,0.2,0,0,0,61008,114432,17928,0.34774281805745555,0.7728792946184251,0.3155020479086509,0.4796678931974715
GBR,70,0.2,0,0,0,23051,59755,9149,0.27837354781054513,0.7158695652173913,0.2506769615572835,0.4008660417717336
UKR,70,0.2,0,0,0,58898,62155,66036,0.4865472148563026,0.47143291657995423,0.3148127361843828,0.47887083463760277
