country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,52,5,0.4639175257731959,0.9,0.4411764705882353,0.6122448979591837
BGR,70,0.2,1,0,0,7502,25910,1429,0.22453010894289477,0.8399955212182286,0.21532102982118767,0.3543442835887868
BIH,70,0.2,1,0,0,2620,8591,665,0.2336990455802337,0.7975646879756468,0.22061300101044123,0.36147902869757176
ALB,70,0.2,1,0,0,1487,3566,132,0.2942806253710667,0.9184681902408894,0.28678881388621025,0.4457434052757793
CHE,70,0.2,1,0,0,6623,5119,602,0.5640436041560212,0.9166782006920415,0.5365359688917692,0.6983708546422734
BEL,70,0.2,1,0,0,7465,14420,281,0.34110121087502854,0.9637232119803769,0.3367770459261933,0.503864196280922
EST,70,0.2,1,0,0,2966,4511,3597,0.3966831616958673,0.4519274721925948,0.2678345674553007,0.42250712250712247
AUT,70,0.2,1,0,0,6578,15562,325,0.2971093044263776,0.9529190207156308,0.29281103939461384,0.45298350721344216
BLR,70,0.2,1,0,0,11596,16790,16716,0.4085112379341929,0.40957897711217855,0.2571061150281584,0.4090444107375921
DNK,70,0.2,1,0,0,6220,11643,4008,0.34820578850137157,0.6081345326554556,0.2843948607745416,0.44284646328005417
CZE,70,0.2,1,0,0,10902,23243,322,0.3192854004978767,0.9713114754098361,0.3163025502654713,0.48059247503802144
GRC,70,0.2,1,0,0,7425,37071,404,0.16686893203883496,0.9483969855664836,0.1653674832962138,0.28380315336837075
HUN,70,0.2,1,0,0,5514,24957,58,0.1809589445702471,0.9895908111988514,0.18061515280552917,0.30596787170879225
HRV,70,0.2,1,0,0,5992,11026,884,0.3520977788224233,0.8714368819080861,0.3347112054519048,0.5015485059010631
LIE,70,0.2,1,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
IRL,70,0.2,1,0,0,2873,16837,6,0.14576357179096905,0.9979159430357764,0.14571921282207345,0.2543715967949002
LUX,70,0.2,1,0,0,992,1151,2,0.46290247316845545,0.9979879275653923,0.4624708624708625,0.6324513866751673
LTU,70,0.2,1,0,0,4385,6336,6583,0.40901035351179926,0.399799416484318,0.25340961627369396,0.4043524367190742
MKD,70,0.2,1,0,0,1051,5172,123,0.16888960308532863,0.8952299829642248,0.16561613614875512,0.28416925780721913
LVA,70,0.2,1,0,0,1872,7196,140,0.20644022937803264,0.9304174950298211,0.20330147697654213,0.3379061371841155
MDA,70,0.2,1,0,0,3602,4102,3830,0.4675493250259605,0.48466092572658775,0.3122940870469915,0.47595137420718814
MNE,70,0.2,1,0,0,669,1429,343,0.31887511916110584,0.6610671936758893,0.274068004916018,0.4302250803858521
NLD,70,0.2,1,0,0,3879,14789,48,0.2077887293764731,0.9877769289533995,0.20725582389399444,0.343350298738659
ITA,70,0.2,1,0,0,42043,62297,2121,0.4029423040061338,0.9519744588352504,0.3949145696546153,0.5662204385067068
DEU,70,0.2,1,0,0,41722,98307,595,0.2979525669682709,0.9859394569558334,0.2966918875867562,0.4576135478705318
SRB,70,0.2,1,0,0,5464,18902,329,0.2242469014200115,0.9432073191783187,0.22125936424377404,0.36234623163898005
SVN,70,0.2,1,0,0,2018,4383,227,0.31526324011873147,0.8988864142538976,0.3044659022329511,0.46680545917187144
POL,70,0.2,1,0,0,29437,93651,450,0.23915410113089822,0.9849432863786931,0.23828295747057585,0.38486027128615785
SVK,70,0.2,1,0,0,4743,9760,689,0.3270357856995105,0.873159057437408,0.3122037914691943,0.4758465011286682
PRT,70,0.2,1,0,0,12633,25479,1786,0.33147040302267,0.8761356543449615,0.3166324126522633,0.48097313966990923
ESP,70,0.2,1,0,0,34422,88165,9127,0.2807964955500991,0.7904199866816689,0.26133896168972165,0.4143833967352049
ROU,70,0.2,1,0,0,16904,57874,2620,0.22605579181042554,0.8658061872567097,0.21840357631980153,0.3585077728998325
FRA,70,0.2,1,0,0,54127,121313,15457,0.30852143182854536,0.7778656012876524,0.28354033850715304,0.441809781898916
GBR,70,0.2,1,0,0,19736,63070,4148,0.2383402168924957,0.8263272483671077,0.22697058214688226,0.36996906926609807
UKR,70,0.2,1,0,0,58795,62258,66023,0.4856963478806804,0.4710458427470397,0.31428403429622187,0.47825892439531303
