country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BGR,70,0.2,1,0,0,7147,24381,1595,0.2266873889875666,0.8175474719743766,0.215771518280349,0.35495406009436303
BIH,70,0.2,1,0,0,2545,8303,708,0.23460545722713863,0.7823547494620351,0.2202319141571478,0.3609673072831714
ALB,70,0.2,1,0,0,1404,3366,204,0.2943396226415094,0.8731343283582089,0.2822677925211098,0.44026340545625586
CHE,70,0.2,1,0,0,6543,5059,623,0.5639544906050681,0.9130616801562936,0.5352147239263804,0.6972506393861893
BEL,70,0.2,1,0,0,7399,14173,281,0.3429909141479696,0.9634114583333333,0.33858051526106253,0.5058799398331738
EST,70,0.2,1,0,0,2782,4198,3789,0.39856733524355303,0.42337543752853446,0.2583341071594391,0.4105970039111505
AUT,70,0.2,1,0,0,6581,14691,328,0.30937382474614517,0.9525256911275148,0.3046759259259259,0.4670522692594301
BLR,70,0.2,1,0,0,10997,15713,17125,0.41171845750655184,0.39104615603442144,0.25087259039580245,0.4011161365625912
DNK,70,0.2,1,0,0,5951,11304,4202,0.3448855404230658,0.5861321776814734,0.27734538845132123,0.4342527729130181
CZE,70,0.2,1,0,0,10820,21770,322,0.332003682111077,0.9711003410518758,0.3287554691298007,0.49483215951705845
GRC,70,0.2,1,0,0,7323,35508,428,0.17097429431953493,0.9447813185395433,0.169282692618877,0.28954964216519713
HUN,70,0.2,1,0,0,5530,23621,57,0.1897018970189702,0.9897977447646322,0.18933168994795946,0.3183833266163855
HRV,70,0.2,1,0,0,5913,10627,931,0.35749697702539296,0.863968439509059,0.33844656859939326,0.505730413958262
LIE,70,0.2,1,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
IRL,70,0.2,1,0,0,2876,16039,6,0.15204863864657678,0.9979181124219292,0.1520004228106337,0.26388952608157085
LUX,70,0.2,1,0,0,967,1006,4,0.4901165737455651,0.995880535530381,0.4891249367728882,0.6569293478260869
LTU,70,0.2,1,0,0,4027,5930,6770,0.4044390880787386,0.37297397425210704,0.24074849046451843,0.38806976968295265
MKD,70,0.2,1,0,0,1048,4821,129,0.17856534332935764,0.8903993203058623,0.1747249083027676,0.2974737439682089
LVA,70,0.2,1,0,0,1846,6271,159,0.22742392509547862,0.9206982543640898,0.22305461575640406,0.36475004939735234
MDA,70,0.2,1,0,0,3496,3902,3972,0.4725601513922682,0.468130690948045,0.3074758135444151,0.47033499260056505
MNE,70,0.2,1,0,0,668,1365,321,0.32857845548450565,0.6754297269969667,0.28377230246389124,0.4420913302448709
NLD,70,0.2,1,0,0,3881,14516,40,0.21095830841985105,0.9897985207855139,0.2105006237457287,0.3477910207007796
ITA,70,0.2,1,0,0,41875,60857,2109,0.4076139859050734,0.9520507457257185,0.399414351255711,0.5708307205758063
DEU,70,0.2,1,0,0,41495,93146,652,0.3081899272881217,0.984530334306119,0.3067047075606277,0.4694323144104803
SRB,70,0.2,1,0,0,5418,18116,341,0.23022010707911958,0.9407883313075187,0.22693193717277488,0.369917727784795
SVN,70,0.2,1,0,0,2045,4132,211,0.33106686093572935,0.9064716312056738,0.32013149655604256,0.4849994070911894
POL,70,0.2,1,0,0,29386,86873,454,0.25276322693296865,0.9847855227882037,0.2517800073685022,0.4022751695767938
SVK,70,0.2,1,0,0,4689,9153,698,0.3387516254876463,0.870428810098385,0.32248968363136177,0.48770086847990013
PRT,70,0.2,1,0,0,12317,24351,1945,0.33590596705574344,0.8636236152012341,0.31898583378654854,0.48368348713921067
ESP,70,0.2,1,0,0,33511,83798,9437,0.2856643565284846,0.7802691627083915,0.2643949315954744,0.4182157409660732
ROU,70,0.2,1,0,0,16726,55581,2708,0.23131923603523863,0.8606565812493568,0.22296873958541624,0.364635223073653
FRA,70,0.2,1,0,0,53299,115176,16269,0.31636147796408964,0.766142479300828,0.288501926990863,0.4478098494809762
GBR,70,0.2,1,0,0,19591,59135,4467,0.2488504433097071,0.8143237176822679,0.23548856273965357,0.38120719178082196
UKR,70,0.2,1,0,0,55261,59761,68622,0.48043852480395055,0.4460741183213193,0.30091372437977826,0.4626190326698897
