country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,59,5,0.4326923076923077,0.9,0.41284403669724773,0.5844155844155844
BIH,70,0.2,0,0,0,2700,9107,638,0.22867790293893453,0.8088675853804673,0.21695460024106067,0.3565533179267084
BEL,70,0.2,0,0,0,8360,14076,788,0.3726154394722767,0.9138609532138172,0.35997244230106784,0.5293819655521783
CHE,70,0.2,0,0,0,6905,5107,707,0.5748418248418249,0.9071203363110878,0.54288859187043,0.7037301263758664
BGR,70,0.2,0,0,0,7940,27653,1322,0.22307757143258505,0.8572662491902396,0.2150887173235812,0.3540296510979824
AUT,70,0.2,0,0,0,7268,15458,838,0.31980990935492387,0.8966197878114976,0.30843659820064506,0.47145822522055014
ALB,70,0.2,0,0,0,1581,3806,141,0.2934843140894747,0.9181184668989547,0.2859985528219971,0.44478829652553104
EST,70,0.2,0,0,0,3191,4806,3619,0.3990246342378392,0.468575624082232,0.27470730027548207,0.43101235901938273
DNK,70,0.2,0,0,0,7687,11043,5890,0.4104111051788574,0.5661780953082419,0.31222583265637693,0.4758721020212338
HUN,70,0.2,0,0,0,5927,26332,76,0.18373167178151834,0.9873396635015825,0.18329982990567498,0.3098113010297423
BLR,70,0.2,0,0,0,12855,18670,15739,0.4077716098334655,0.44956983982653703,0.2719829045362221,0.4276518238826328
IRL,70,0.2,0,0,0,3160,18099,162,0.1486429277012089,0.9512341962673089,0.14751878997245693,0.25710914934298845
DEU,70,0.2,0,0,0,45204,100537,3266,0.31016666552308547,0.9326181142975036,0.30336829813364474,0.46551431175371116
LIE,70,0.2,0,0,0,27,100,0,0.2125984251968504,1.0,0.2125984251968504,0.35064935064935066
CZE,70,0.2,0,0,0,11663,23840,356,0.3285074500746416,0.9703802313004409,0.3252461027914889,0.49084634485080597
LUX,70,0.2,0,0,0,1024,1151,3,0.4708045977011494,0.997078870496592,0.4701561065197429,0.6396002498438476
LTU,70,0.2,0,0,0,4948,6916,6081,0.41706001348617666,0.44863541572218696,0.2757314015045974,0.43227187349844926
MKD,70,0.2,0,0,0,1143,5540,54,0.1710309741134221,0.9548872180451128,0.16966008609173222,0.29010152284263957
GRC,70,0.2,0,0,0,7548,38958,480,0.1623016384982583,0.9402092675635276,0.16064359596475547,0.2768181318076796
LVA,70,0.2,0,0,0,2287,7496,348,0.23377287130736993,0.8679316888045541,0.2257427697167111,0.3683362860363988
MDA,70,0.2,0,0,0,3980,4640,3500,0.4617169373549884,0.5320855614973262,0.32838283828382836,0.49440993788819876
MNE,70,0.2,0,0,0,723,1552,337,0.3178021978021978,0.6820754716981132,0.27679938744257276,0.4335832083958021
NLD,70,0.2,0,0,0,4732,14444,683,0.24676679182311223,0.8738688827331487,0.23827987310539303,0.3848562482208938
SRB,70,0.2,0,0,0,5638,20209,312,0.21812976360892947,0.9475630252100841,0.21552811651821552,0.3546246501242255
HRV,70,0.2,0,0,0,6291,11601,899,0.3516096579476861,0.8749652294853963,0.33478793039220905,0.5016346383860937
POL,70,0.2,0,0,0,31522,98855,660,0.24177577333425374,0.9794916412901622,0.2405580103329594,0.38782226760745325
SVK,70,0.2,0,0,0,4825,10264,771,0.3197693684140765,0.8622230164403145,0.3042244640605296,0.46652163403432445
SVN,70,0.2,0,0,0,2118,4682,228,0.3114705882352941,0.9028132992327366,0.30136596471257826,0.46315329105619946
FRA,70,0.2,0,0,0,62794,119143,17400,0.3451414500623842,0.7830261615582214,0.31501427231271667,0.4791039594706464
PRT,70,0.2,0,0,0,13140,26761,1605,0.3293150547605323,0.8911495422177009,0.3165807353153761,0.4809135160853493
ESP,70,0.2,0,0,0,36547,94143,9583,0.2796464916979111,0.7922610015174507,0.26054194321073904,0.41338083927157565
ITA,70,0.2,0,0,0,43058,64359,2222,0.40084902762132624,0.9509275618374559,0.3927252163919773,0.5639665481312666
ROU,70,0.2,0,0,0,17457,61442,2450,0.22125755713000164,0.8769277138694932,0.21459391018943072,0.3533591077464931
GBR,70,0.2,0,0,0,23691,62957,8780,0.27341658203305325,0.7296048781990083,0.24826046862556064,0.3977702969299608
UKR,70,0.2,0,0,0,65448,69999,61220,0.48320007087643135,0.5166892980073894,0.3327858766341074,0.4993838582301662
