country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
CHE,70,0.2,0,0,0,6633,4994,748,0.5704824976348155,0.8986587183308494,0.536,0.6979166666666666
BIH,70,0.2,0,0,0,2546,8312,706,0.23448148830355497,0.7829028290282903,0.2201660325147008,0.36087880935506733
BEL,70,0.2,0,0,0,8142,13446,805,0.377153974430239,0.910025706940874,0.3635957665341848,0.5332896675945636
BGR,70,0.2,0,0,0,7172,24481,1566,0.22658199854674121,0.8207827878233005,0.2159005388482495,0.3551286177613825
AUT,70,0.2,0,0,0,7138,14181,894,0.3348187063183076,0.888695219123506,0.32134335749335974,0.48638887942489184
ALB,70,0.2,0,0,0,1421,3399,203,0.29481327800829876,0.875,0.2828986661357754,0.4410304158907511
EST,70,0.2,0,0,0,2909,4112,3916,0.4143284432417035,0.42622710622710624,0.2659778732742068,0.42019355770619676
DNK,70,0.2,0,0,0,7032,10244,6246,0.4070386663579532,0.5295978309986443,0.2989541705637276,0.46029979708057867
HUN,70,0.2,0,0,0,5863,23382,84,0.20047871431013847,0.985875231209013,0.19990453135122235,0.3332007274380541
BLR,70,0.2,0,0,0,11015,15760,17185,0.411391223155929,0.39060283687943265,0.25056869881710647,0.4007276034561164
IRL,70,0.2,0,0,0,3090,15833,155,0.16329334672092163,0.9522342064714946,0.1619666631722403,0.27878022374594014
CZE,70,0.2,0,0,0,11372,21309,358,0.34796976836694105,0.9694799658994032,0.34419927963921426,0.512125374344194
LIE,70,0.2,0,0,0,26,100,0,0.20634920634920634,1.0,0.20634920634920634,0.34210526315789475
LTU,70,0.2,0,0,0,4081,5946,6736,0.4070010970379974,0.3772765091984839,0.2434528425699457,0.39157551333717133
LUX,70,0.2,0,0,0,984,1014,4,0.4924924924924925,0.9959514170040485,0.4915084915084915,0.6590756865371735
DEU,70,0.2,0,0,0,44460,90711,3427,0.3289167055063586,0.9284356923590954,0.3207838496948008,0.4857476865255821
GRC,70,0.2,0,0,0,7345,35662,506,0.17078615109168274,0.9355496115144567,0.16880012869717095,0.2888434464587675
MKD,70,0.2,0,0,0,1023,4878,136,0.1733604473817997,0.8826574633304572,0.169455027331456,0.28980169971671393
LVA,70,0.2,0,0,0,2169,5991,353,0.26580882352941176,0.8600317208564632,0.2547867966639258,0.4061037258940273
MNE,70,0.2,0,0,0,668,1365,325,0.32857845548450565,0.6727089627391742,0.28329092451229854,0.4415069398545935
HRV,70,0.2,0,0,0,5954,10618,991,0.35928071445812215,0.8573074154067675,0.3390081421169504,0.5063571033720288
NLD,70,0.2,0,0,0,4706,13694,686,0.2557608695652174,0.8727744807121661,0.24656816514722835,0.39559515803631473
MDA,70,0.2,0,0,0,3490,3905,3986,0.4719405003380663,0.4668271803103264,0.30665143660486777,0.4693699145988838
SRB,70,0.2,0,0,0,5420,18148,343,0.22997284453496267,0.9404823876453237,0.22667391577098406,0.3695748525450888
ESP,70,0.2,0,0,0,34117,83417,10378,0.2902734527881294,0.7667603101472076,0.2667224341734943,0.4211221448012393
SVN,70,0.2,0,0,0,2051,4153,240,0.33059316569954866,0.8952422522915757,0.31828057107386715,0.48287227781047676
POL,70,0.2,0,0,0,30956,86005,687,0.26466941972110364,0.9782890370698101,0.2631238950088399,0.4166240478049043
SVK,70,0.2,0,0,0,4735,9150,774,0.34101548433561396,0.8595026320566346,0.32300975509925645,0.48829534907703415
PRT,70,0.2,0,0,0,12380,24382,1934,0.3367607855938197,0.864887522705044,0.31992970849700225,0.4847677970083797
ITA,70,0.2,0,0,0,42324,60447,2290,0.4118282394839011,0.9486708208185771,0.4028516766449967,0.5743325304474676
FRA,70,0.2,0,0,0,60071,108903,18683,0.3555043971261851,0.762767605454961,0.32011062736801715,0.48497545695278693
ROU,70,0.2,0,0,0,16769,55647,2708,0.2315648475475033,0.8609642142013657,0.2232176135456046,0.36496795185705116
GBR,70,0.2,0,0,0,22918,56269,9450,0.28941619205172564,0.708044982698962,0.2585601949524465,0.41088252431536015
UKR,70,0.2,0,0,0,55422,59733,68553,0.48128175068386086,0.44704174228675136,0.30168528316676463,0.4635302973278133
